{'colors': {'line1_color': [330, 320, 340], 'color_threshold': 40, 'max_left_color': '#00FAF0', 'max_left_hsv': [179, 245, 98], 'max_right_color': '#169C00', 'max_right_hsv': [87, 191, 61], 'min_left_color': '#009E57', 'min_left_hsv': [163, 159, 62], 'min_right_color': '#424200', 'min_right_hsv': [60, 126, 26]}, 'contour_threshold': 5000, 'groundWidth': 29, 'pins': {'button': 25, 'distance_sensor': {'ECHO1': 15, 'ECHO2': 22, 'ECHO3': 27, 'TRIG1': 14, 'TRIG2': 4, 'TRIG3': 17}, 'mode': 'BCM', 'motor': {'ENA': 0, 'IN1': 11, 'IN2': 9}, 'servo': {'pcapin': 3}}}
Is Blue: False  R: 621, G: 621, B: 648
Is Blue: False  R: 621, G: 621, B: 648
Is Blue: False  R: 621, G: 621, B: 648
Is Blue: False  R: 621, G: 621, B: 648
Is Blue: False  R: 617, G: 618, B: 648
Is Blue: False  R: 617, G: 618, B: 648
Is Blue: False  R: 617, G: 618, B: 648
Is Blue: False  R: 617, G: 618, B: 648
Is Blue: False  R: 620, G: 622, B: 654
Is Blue: False  R: 620, G: 622, B: 654
Is Blue: False  R: 620, G: 622, B: 654
Is Blue: False  R: 620, G: 622, B: 654
Is Blue: False  R: 620, G: 622, B: 654
Is Blue: False  R: 627, G: 631, B: 664
Is Blue: False  R: 627, G: 631, B: 664
Is Blue: False  R: 627, G: 631, B: 664
Is Blue: False  R: 627, G: 631, B: 664
Is Blue: False  R: 627, G: 631, B: 664
Is Blue: False  R: 632, G: 638, B: 672
Is Blue: False  R: 632, G: 638, B: 672
Is Blue: False  R: 632, G: 638, B: 672
Is Blue: False  R: 632, G: 638, B: 672
Is Blue: False  R: 639, G: 648, B: 685
Is Blue: False  R: 639, G: 648, B: 685
Is Blue: False  R: 639, G: 648, B: 685
Is Blue: False  R: 639, G: 648, B: 685
Is Blue: False  R: 639, G: 648, B: 685
Is Blue: False  R: 642, G: 653, B: 691
Is Blue: False  R: 642, G: 653, B: 691
Is Blue: False  R: 642, G: 653, B: 691
Is Blue: False  R: 642, G: 653, B: 691
